iter	RMSE
0	7.075067129
1	6.70650047
2	6.356117874
3	6.035345973
4	5.719281586
5	5.426014496
6	5.148647321
7	4.889260415
8	4.64325097
9	4.408922788
10	4.187104804
11	3.982179182
12	3.785193655
13	3.603551957
14	3.429582581
15	3.262096704
16	3.100802336
17	2.955914779
18	2.814669166
19	2.680492791
20	2.555809745
21	2.437748827
22	2.323492811
23	2.214542041
24	2.114564052
25	2.021652025
26	1.933464518
27	1.84926729
28	1.76914527
29	1.696794925
30	1.624149194
31	1.560495776
32	1.497098763
33	1.440548563
34	1.38599994
35	1.334229148
36	1.287720061
37	1.244114993
38	1.201727255
39	1.162413463
40	1.124700484
41	1.090659956
42	1.057252323
43	1.0271531
44	0.9997658722
45	0.9734725783
46	0.9489018493
47	0.927894373
48	0.9068687236
49	0.8870141215
50	0.8694478249
51	0.8533208292
52	0.8386031119
53	0.8248970273
54	0.8118901802
55	0.7990623217
56	0.78879389
57	0.779219771
58	0.7696873852
59	0.7616021637
60	0.753729917
61	0.7461430216
62	0.739672824
63	0.7331718955
64	0.727515602
65	0.722103217
66	0.7168077308
67	0.7124141895
68	0.70802824
69	0.7044868533
70	0.7004175502
71	0.6964340226
72	0.6928163979
73	0.6888664249
74	0.6860780588
75	0.6829824598
76	0.6802724804
77	0.6781496403
78	0.6756382677
79	0.6735017252
80	0.6716855716
81	0.6697563267
82	0.6679263829
83	0.666254072
84	0.6643110499
85	0.6629741909
86	0.6618075832
87	0.6606874599
88	0.6594358551
89	0.6579886319
90	0.6563830988
91	0.6551795632
92	0.6541664392
93	0.6527879452
94	0.6514615146
95	0.6507891963
96	0.6497478344
97	0.6487207328
98	0.6476169875
99	0.6463802658
100	0.6453585153
101	0.6446170578
102	0.6437121377
103	0.6431102637
104	0.6423030171
105	0.641442062
106	0.6407539114
107	0.6401048631
108	0.6388698804
109	0.6381124252
110	0.6376566091
111	0.6367281582
112	0.6361455979
113	0.6350526005
114	0.6337079306
115	0.6330528012
116	0.6324727224
117	0.6321051795
118	0.6311071573
119	0.6307410828
120	0.6301334839
121	0.6292121201
122	0.6281760483
123	0.6277208723
124	0.6270767361
125	0.6266002725
126	0.6259042787
127	0.6246516332
128	0.6239156644
129	0.6234711404
130	0.622797157
131	0.6222452826
132	0.6215928191
133	0.6209662223
134	0.6204331312
135	0.6196437733
136	0.619210911
137	0.6186204828
138	0.618238722
139	0.6174474528
140	0.6168063756
141	0.6156782786
142	0.6147531358
143	0.6143367052
144	0.6138985339
145	0.6133882498
146	0.6130770689
147	0.6128308584
148	0.6123401248
149	0.612097867
150	0.6115779053
151	0.6106479272
152	0.6099543006
153	0.6096898784
154	0.6091874356
155	0.60856596
156	0.6080317069
157	0.6072378164
158	0.6066404176
159	0.6061451514
160	0.6057921793
161	0.6053508978
162	0.6050519698
163	0.6044219203
164	0.6036591797
165	0.6029436677
166	0.602151392
167	0.6015941387
168	0.6006454964
169	0.5998877777
170	0.599469325
171	0.598597187
172	0.5981899
173	0.5975314584
174	0.5972389856
175	0.5968518456
176	0.596132747
177	0.5953492864
178	0.5950383357
179	0.5944551546
180	0.5937362317
181	0.5929975371
182	0.5925740874
183	0.5919503873
184	0.5914886313
185	0.5911563332
186	0.5906934526
187	0.5899679234
188	0.5894630989
189	0.5891414228
190	0.5881405895
191	0.5875560823
192	0.587063098
193	0.586614001
194	0.5861447929
195	0.5854829183
196	0.5848783652
197	0.5844385379
198	0.5838681415
199	0.5835776829
200	0.5833112196
