iter	Passed	Remaining
0	71	71826
1	72	36240
2	73	24391
3	74	18443
4	74	14892
5	75	12527
6	76	10827
7	77	9550
8	77	8560
9	78	7772
10	79	7122
11	79	6576
12	80	6113
13	81	5727
14	82	5385
15	82	5082
16	83	4817
17	83	4578
18	84	4371
19	85	4184
20	86	4012
21	86	3863
22	87	3734
23	88	3602
24	89	3482
25	90	3371
26	90	3266
27	91	3170
28	92	3081
29	92	2997
30	93	2918
31	94	2845
32	94	2775
33	95	2713
34	96	2655
35	96	2596
36	97	2540
37	98	2487
38	98	2438
39	99	2390
40	100	2345
41	101	2305
42	101	2266
43	102	2227
44	103	2193
45	103	2156
46	104	2124
47	105	2091
48	106	2060
49	106	2029
50	107	2000
51	108	1972
52	108	1945
53	109	1919
54	110	1896
55	111	1871
56	111	1847
57	112	1824
58	113	1802
59	113	1781
60	114	1762
61	115	1741
62	115	1721
63	116	1703
64	117	1686
65	118	1670
66	118	1654
67	119	1636
68	120	1620
69	120	1605
70	121	1589
71	122	1575
72	122	1560
73	123	1546
74	124	1533
75	125	1519
76	125	1506
77	126	1495
78	127	1483
79	127	1470
80	128	1457
81	129	1445
82	129	1433
83	130	1422
84	131	1410
85	131	1400
86	132	1390
87	133	1381
88	133	1371
89	134	1361
90	135	1352
91	136	1342
92	136	1333
93	137	1324
94	138	1315
95	138	1306
96	139	1297
97	140	1289
98	140	1282
99	141	1274
100	142	1266
101	143	1264
102	144	1256
103	144	1248
104	145	1241
105	146	1234
106	147	1227
107	147	1219
108	148	1212
109	149	1207
110	149	1201
111	150	1194
112	151	1187
113	151	1181
114	152	1174
115	153	1168
116	154	1162
117	154	1156
118	155	1150
119	156	1144
120	156	1138
121	157	1132
122	158	1127
123	158	1122
124	159	1116
125	160	1111
126	160	1105
127	161	1100
128	162	1095
129	162	1090
130	163	1085
131	164	1081
132	165	1077
133	165	1072
134	166	1067
135	167	1062
136	167	1057
137	168	1052
138	169	1049
139	170	1044
140	170	1040
141	171	1036
142	172	1032
143	172	1027
144	173	1023
145	174	1019
146	175	1015
147	175	1011
148	176	1007
149	177	1004
150	177	1000
151	178	996
152	179	992
153	180	989
154	180	985
155	181	982
156	182	981
157	183	978
158	184	975
159	185	971
160	185	967
161	186	964
162	187	961
163	187	957
164	188	954
165	189	951
166	190	949
167	191	946
168	191	943
169	192	940
170	193	936
171	194	934
172	194	930
173	195	928
174	196	927
175	197	925
176	198	923
177	199	921
178	200	918
179	200	915
180	201	912
181	202	909
182	203	906
183	203	903
184	204	900
185	205	899
186	206	897
187	207	895
188	208	892
189	209	892
190	210	889
191	210	887
192	211	884
193	212	882
194	213	881
195	214	880
196	215	880
197	216	878
198	218	877
199	218	875
200	219	872
201	220	870
202	221	868
203	222	866
204	223	865
205	223	862
206	224	861
207	225	859
208	226	857
209	227	855
210	228	853
211	228	851
212	229	848
213	230	846
214	231	844
215	232	842
216	232	840
217	233	838
218	234	836
219	235	834
220	235	831
221	236	829
222	237	826
223	237	824
224	238	821
225	239	819
226	240	817
227	240	815
228	241	813
229	242	811
230	243	809
231	244	810
232	245	808
233	246	806
234	247	804
235	247	802
236	248	799
237	249	797
238	249	795
239	250	793
240	251	791
241	252	789
242	252	787
243	253	785
244	254	783
245	254	781
246	255	779
247	256	776
248	256	774
249	257	772
250	258	770
251	258	768
252	259	766
253	260	764
254	261	762
255	261	760
256	262	759
257	263	757
258	264	755
259	264	753
260	265	751
261	266	749
262	266	747
263	267	745
264	268	743
265	268	741
266	269	739
267	270	738
268	270	736
269	271	734
270	272	732
271	272	730
272	273	728
273	274	726
274	274	724
275	275	723
276	276	721
277	277	719
278	277	717
279	278	715
280	279	714
281	279	712
282	280	710
283	281	708
284	281	706
285	282	705
286	283	703
287	283	702
288	284	700
289	285	698
290	286	696
291	286	695
292	287	693
293	288	691
294	288	689
295	289	688
296	290	686
297	290	685
298	291	683
299	292	681
300	292	680
301	293	678
302	294	676
303	294	674
304	295	673
305	296	671
306	296	670
307	297	668
308	298	666
309	298	665
310	299	663
311	300	662
312	301	660
313	301	659
314	302	658
315	303	656
316	304	654
317	304	653
318	305	651
319	306	650
320	306	648
321	307	647
322	308	645
323	308	644
324	309	642
325	310	641
326	311	640
327	311	638
328	312	637
329	313	635
330	313	634
331	314	632
332	315	631
333	315	629
334	316	628
335	317	626
336	317	625
337	318	624
338	319	622
339	319	621
340	320	619
341	321	618
342	321	616
343	322	615
344	323	613
345	323	612
346	324	610
347	325	609
348	325	607
349	326	606
350	327	605
351	327	603
352	328	602
353	329	601
354	330	599
355	330	598
356	331	596
357	332	595
358	332	594
359	333	592
360	334	591
361	334	590
362	335	588
363	336	587
364	336	585
365	337	584
366	338	583
367	338	581
368	339	580
369	340	579
370	340	577
371	341	576
372	342	575
373	342	573
374	343	572
375	344	571
376	344	569
377	345	568
378	346	567
379	346	566
380	347	564
381	348	563
382	348	561
383	349	560
384	350	559
385	350	558
386	351	556
387	352	555
388	352	554
389	353	552
390	354	551
391	354	550
392	355	549
393	356	547
394	356	546
395	357	545
396	358	544
397	359	543
398	359	542
399	360	540
400	361	539
401	361	538
402	362	537
403	363	535
404	363	534
405	364	533
406	365	533
407	366	531
408	367	530
409	368	529
410	368	528
411	369	527
412	370	526
413	370	525
414	371	523
415	372	522
416	372	521
417	373	520
418	374	519
419	375	517
420	375	516
421	376	515
422	377	514
423	377	513
424	378	511
425	378	510
426	379	509
427	380	508
428	381	507
429	381	505
430	382	504
431	382	503
432	383	502
433	384	501
434	385	500
435	385	499
436	386	497
437	387	496
438	387	495
439	388	494
440	389	493
441	389	492
442	390	491
443	391	490
444	392	489
445	393	488
446	393	487
447	394	486
448	395	485
449	395	483
450	396	482
451	397	481
452	397	480
453	398	479
454	399	478
455	400	477
456	400	476
457	401	475
458	402	474
459	403	473
460	403	472
461	404	471
462	405	470
463	406	469
464	406	468
465	407	467
466	409	467
467	410	466
468	410	464
469	411	463
470	411	462
471	412	461
472	413	460
473	414	459
474	414	458
475	415	457
476	416	456
477	417	455
478	418	455
479	419	454
480	419	452
481	420	451
482	421	450
483	421	449
484	422	448
485	423	447
486	424	446
487	425	446
488	425	445
489	426	444
490	427	442
491	427	441
492	428	440
493	429	439
494	429	438
495	430	437
496	431	436
497	431	435
498	432	434
499	433	433
500	434	432
501	434	431
502	435	430
503	436	429
504	437	428
505	438	427
506	439	426
507	439	426
508	440	425
509	441	424
510	442	423
511	443	422
512	443	421
513	444	420
514	445	419
515	445	418
516	446	417
517	447	416
518	447	415
519	448	414
520	449	413
521	450	412
522	450	411
523	451	410
524	452	409
525	453	408
526	453	407
527	454	406
528	455	405
529	456	404
530	457	403
531	458	402
532	458	402
533	459	401
534	460	400
535	461	399
536	461	398
537	462	397
538	463	396
539	463	395
540	464	394
541	465	393
542	466	392
543	466	391
544	467	390
545	468	389
546	469	388
547	469	387
548	470	386
549	471	385
550	472	384
551	473	383
552	473	383
553	474	382
554	475	381
555	475	380
556	476	379
557	478	378
558	478	377
559	479	376
560	480	375
561	480	374
562	481	373
563	482	372
564	482	371
565	483	370
566	484	370
567	485	369
568	485	368
569	486	367
570	487	366
571	488	365
572	489	364
573	490	363
574	490	362
575	491	361
576	492	360
577	492	359
578	493	358
579	494	357
580	494	356
581	495	355
582	496	354
583	496	354
584	497	353
585	498	352
586	499	351
587	499	350
588	500	349
589	501	348
590	502	347
591	502	346
592	504	346
593	505	345
594	506	344
595	506	343
596	507	342
597	508	341
598	508	340
599	509	339
600	510	338
601	511	337
602	511	336
603	512	335
604	513	334
605	513	334
606	514	333
607	515	332
608	516	331
609	516	330
610	517	329
611	518	328
612	518	327
613	519	326
614	520	325
615	521	325
616	522	324
617	523	323
618	523	322
619	524	321
620	525	320
621	525	319
622	526	318
623	527	317
624	527	316
625	528	315
626	529	314
627	529	313
628	530	313
629	531	312
630	531	311
631	532	310
632	533	309
633	533	308
634	535	307
635	536	307
636	537	306
637	538	305
638	538	304
639	539	303
640	540	302
641	540	301
642	541	300
643	542	299
644	543	298
645	543	297
646	544	297
647	545	296
648	545	295
649	546	294
650	547	293
651	547	292
652	548	291
653	549	290
654	549	289
655	550	288
656	551	287
657	552	287
658	553	286
659	553	285
660	554	284
661	555	283
662	556	282
663	556	281
664	557	280
665	558	279
666	558	279
667	559	278
668	560	277
669	560	276
670	561	275
671	562	274
672	562	273
673	563	272
674	564	271
675	564	270
676	565	269
677	566	268
678	566	268
679	567	267
680	568	266
681	569	265
682	570	264
683	571	263
684	571	262
685	572	262
686	573	261
687	573	260
688	574	259
689	575	258
690	575	257
691	576	256
692	577	255
693	578	254
694	578	254
695	579	253
696	580	252
697	580	251
698	581	250
699	582	249
700	582	248
701	583	247
702	584	246
703	585	246
704	586	245
705	587	244
706	588	243
707	589	243
708	589	242
709	590	241
710	591	240
711	592	239
712	592	238
713	593	237
714	594	236
715	595	236
716	595	235
717	596	234
718	597	233
719	598	232
720	598	231
721	599	230
722	600	230
723	601	229
724	602	228
725	603	227
726	604	226
727	604	225
728	605	225
729	606	224
730	606	223
731	607	222
732	608	221
733	609	220
734	609	219
735	610	218
736	611	218
737	611	217
738	612	216
739	613	215
740	613	214
741	614	213
742	615	212
743	616	211
744	616	211
745	617	210
746	618	209
747	619	208
748	620	207
749	621	207
750	621	206
751	622	205
752	623	204
753	623	203
754	624	202
755	625	201
756	625	200
757	626	199
758	627	199
759	627	198
760	628	197
761	629	196
762	629	195
763	630	194
764	631	193
765	632	193
766	632	192
767	633	191
768	634	190
769	635	189
770	636	188
771	636	188
772	637	187
773	638	186
774	639	185
775	639	184
776	640	183
777	641	182
778	641	182
779	642	181
780	644	180
781	644	179
782	645	178
783	646	178
784	646	177
785	647	176
786	648	175
787	649	174
788	650	173
